Ticker,Company,Sector,Industry,Country
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA
AA,Alcoa Corporation,Basic Materials,Aluminum,USA
AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China
AACQ,Artius Acquisition Inc.,Financial,Shell Companies,USA
AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA
AAL,American Airlines Group Inc.,Industrials,Airlines,USA
AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA
AAME,Atlantic American Corporation,Financial,Insurance - Life,USA
AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA
AAPL,Apple Inc.,Technology,Consumer Electronics,USA
AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA
AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada
AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA
ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada
ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA
ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA
ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA
ABST,Absolute Software Corporation,Technology,Software - Application,Canada
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA
ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA
AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA
ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA
ACACU,Acies Acquisition Corp.,Financial,Shell Companies,USA
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA
ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada
ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong
ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA
ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA
ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA
ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA
ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA
ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA
ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA
ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda
ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA
ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA
ACIC,Atlas Crest Investment Corp.,Financial,Shell Companies,USA
ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA
ACKIT,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA
ACKIU,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA
ACM,AECOM,Industrials,Engineering & Construction,USA
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA
ACN,Accenture plc,Technology,Information Technology Services,Ireland
ACNB,ACNB Corporation,Financial,Banks - Regional,USA
ACND,Ascendant Digital Acquisition Corp.,Financial,Shell Companies,USA
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA
ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA
ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA
ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USA
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada
ACTC,ArcLight Clean Transition Corp.,Financial,Shell Companies,USA
ACTCU,ArcLight Clean Transition Corp.,Financial,Shell Companies,USA
ACTDU,ArcLight Clean Transition Corp. II,Financial,Shell Companies,USA
ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA
ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA
ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA
ACVA,ACV Auctions Inc.,Technology,Software - Application,USA
ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA
ADAG,Adagene Inc.,Healthcare,Biotechnology,China
ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom
ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA
ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland
ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA
ADERU,26 Capital Acquisition Corp.,Financial,Shell Companies,USA
ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA
ADEX,Adit EdTech Acquisition Corp.,Financial,Shell Companies,USA
ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA
ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA
ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA
ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA
ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
ADN,"Advent Technologies Holdings, Inc.",Utilities,Utilities - Renewable,USA
ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland
ADOC,Edoc Acquisition Corp.,Financial,Shell Companies,USA
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA
ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA
ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA
ADSK,"Autodesk, Inc.",Technology,Software - Application,USA
ADT,ADT Inc.,Industrials,Security & Protection Services,USA
ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA
ADTX,"ADiTx Therapeutics, Inc.",Healthcare,Biotechnology,USA
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA
ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,USA
ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA
ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA
ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland
ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA
AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA
AEAC,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA
AEACU,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom
AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands
AEHL,Antelope Enterprise Holdings Limited,Industrials,Building Products & Equipment,China
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA
AEI,Alset EHome International Inc.,Real Estate,Real Estate - Development,USA
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA
AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada
AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA
AENZ,Aenza S.A.A.,Industrials,Engineering & Construction,Peru
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA
AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland
AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
AES,The AES Corporation,Utilities,Utilities - Diversified,USA
AESC,The AES Corporation,Utilities,Utilities - Diversified,USA
AESE,Allied Esports Entertainment Inc.,Communication Services,Entertainment,USA
AEVA,"Aeva Technologies, Inc.",Consumer Cyclical,Auto Parts,USA
AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA
AEYE,"AudioEye, Inc.",Technology,Software - Application,USA
AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA
AFAQU,AF Acquisition Corp.,Financial,Shell Companies,USA
AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA
AFBI,"Affinity Bancshares, Inc.",Financial,Banks - Regional,USA
AFCG,"AFC Gamma, Inc.",Real Estate,REIT - Specialty,USA
AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA
AFI,"Armstrong Flooring, Inc.",Industrials,Building Products & Equipment,USA
AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USA
AFIN,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA
AFINO,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA
AFL,Aflac Incorporated,Financial,Insurance - Life,USA
AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany
AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services,USA
AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil
AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada
AGC,Altimeter Growth Corp.,Financial,Shell Companies,USA
AGCB,Altimeter Growth Corp. 2,Financial,Shell Companies,USA
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA
AGCUU,Altimeter Growth Corp.,Financial,Shell Companies,USA
AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA
AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA
AGEN,Agenus Inc.,Healthcare,Biotechnology,USA
AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA
AGFY,Agrify Corporation,Industrials,Specialty Business Services,USA
AGGR,Agile Growth Corp.,Financial,Shell Companies,USA
AGGRU,Agile Growth Corp.,Financial,Shell Companies,USA
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,USA
AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA
AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA
AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA
AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda
AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA
AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg
AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA
AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA
AGTI,"Agiliti, Inc.",Healthcare,Health Information Services,USA
AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA
AGYS,"Agilysys, Inc.",Technology,Software - Application,USA
AHAC,Alpha Healthcare Acquisition Corp.,Financial,Shell Companies,USA
AHACU,Alpha Healthcare Acquisition Corp.,Financial,Shell Companies,USA
AHC,A.H. Belo Corporation,Communication Services,Publishing,USA
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA
AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA
AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA
AI,"C3.ai, Inc.",Technology,Information Technology Services,USA
AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA
AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA
AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China
AIHS,Senmiao Technology Limited,Financial,Credit Services,China
AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA
AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA
AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA
AINC,Ashford Inc.,Financial,Asset Management,USA
AINV,Apollo Investment Corporation,Financial,Asset Management,USA
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund,Financial,Closed-End Fund - Equity,USA
AIR,AAR Corp.,Industrials,Aerospace & Defense,USA
AIRC,Apartment Income REIT Corp.,Real Estate,REIT - Residential,USA
AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA
AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA
AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USA
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,USA
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA
AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA
AJAX,Ajax I,Financial,Shell Companies,USA
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA
AJX,Great Ajax Corp.,Real Estate,REIT - Mortgage,USA
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA
AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA
AKIC,Sports Ventures Acquisition Corp.,Financial,Shell Companies,USA
AKICU,Sports Ventures Acquisition Corp.,Financial,Shell Companies,USA
AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile
AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA
AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USA
AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA
AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom
AKUS,"Akouos, Inc.",Healthcare,Biotechnology,USA
AKYA,"Akoya Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA
AL,Air Lease Corporation,Industrials,Rental & Leasing Services,USA
ALAC,Alberton Acquisition Corporation,Financial,Shell Companies,Hong Kong
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA
ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland
ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,USA
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA
ALE,"ALLETE, Inc.",Utilities,Utilities - Diversified,USA
ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA
ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Diversified,USA
ALF,"Alfi, Inc.",Technology,Software - Infrastructure,USA
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA
ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,USA
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA
ALGS,"Aligos Therapeutics, Inc.",Healthcare,Biotechnology,USA
ALGT,Allegiant Travel Company,Industrials,Airlines,USA
ALHC,"Alignment Healthcare, Inc.",Healthcare,Healthcare Plans,USA
ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
ALJJ,"ALJ Regional Holdings, Inc.",Industrials,Specialty Business Services,USA
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,USA
ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland
ALKT,"Alkami Technology, Inc.",Technology,Software - Application,USA
ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland
ALLK,Allakos Inc.,Healthcare,Biotechnology,USA
ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA
ALLT,Allot Ltd.,Technology,Communication Equipment,Israel
ALLY,Ally Financial Inc.,Financial,Credit Services,USA
ALNA,"Allena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ALOT,"AstroNova, Inc.",Technology,Computer Hardware,USA
ALPN,"Alpine Immune Sciences, Inc.",Healthcare,Biotechnology,USA
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,USA
ALRN,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA
ALRS,Alerus Financial Corporation,Financial,Banks - Regional,USA
ALSK,"Alaska Communications Systems Group, Inc.",Communication Services,Telecom Services,USA
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,USA
ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA
ALTA,Altabancorp,Financial,Banks - Regional,USA
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,USA
ALTM,Altus Midstream Company,Energy,Oil & Gas Midstream,USA
ALTO,"Alto Ingredients, Inc.",Basic Materials,Specialty Chemicals,USA
ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,USA
ALTU,Altitude Acquisition Corp.,Financial,Shell Companies,USA
ALTUU,Altitude Acquisition Corp.,Financial,Shell Companies,USA
ALUS,Alussa Energy Acquisition Corp.,Financial,Shell Companies,Cayman Islands
ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,Sweden
ALVR,"AlloVir, Inc.",Healthcare,Biotechnology,USA
ALX,"Alexander's, Inc.",Real Estate,REIT - Retail,USA
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ALXO,ALX Oncology Holdings Inc.,Healthcare,Biotechnology,USA
ALYA,Alithya Group Inc.,Technology,Information Technology Services,Canada
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,USA
AMAL,Amalgamated Financial Corp.,Financial,Banks - Regional,USA
AMAO,American Acquisition Opportunity Inc.,Financial,Shell Companies,USA
AMAOU,American Acquisition Opportunity Inc.,Financial,Shell Companies,USA
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA
AMBC,"Ambac Financial Group, Inc.",Financial,Insurance - Specialty,USA
AMBO,Ambow Education Holding Ltd.,Consumer Defensive,Education & Training Services,China
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,USA
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland
AMCX,AMC Networks Inc.,Communication Services,Broadcasting,USA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA
AMED,"Amedisys, Inc.",Healthcare,Medical Care Facilities,USA
AMEH,"Apollo Medical Holdings, Inc.",Healthcare,Medical Care Facilities,USA
AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA
AMK,"AssetMark Financial Holdings, Inc.",Financial,Asset Management,USA
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,USA
AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA
AMNB,American National Bankshares Inc.,Financial,Banks - Regional,USA
AMOT,Allied Motion Technologies Inc.,Technology,Electronic Components,USA
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
AMPG,"AmpliTech Group, Inc.",Technology,Communication Equipment,USA
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P,USA
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials,Coking Coal,USA
AMRB,American River Bankshares,Financial,Banks - Regional,USA
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,USA
AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA
AMRN,Amarin Corporation plc,Healthcare,Biotechnology,Ireland
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA
AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,USA
AMSF,"AMERISAFE, Inc.",Financial,Insurance - Specialty,USA
AMST,Amesite Inc.,Technology,Software - Application,USA
AMSWA,"American Software, Inc.",Technology,Software - Application,USA
AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA
AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA
AMTI,Applied Molecular Transport Inc.,Healthcare,Biotechnology,USA
AMTX,"Aemetis, Inc.",Energy,Oil & Gas Refining & Marketing,USA
AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
AMWL,American Well Corporation,Healthcare,Health Information Services,USA
AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico
AMYT,Amryt Pharma plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA
AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
ANAB,"AnaptysBio, Inc.",Healthcare,Biotechnology,USA
ANAT,"American National Group, Inc.",Financial,Insurance - Diversified,USA
ANDA,Andina Acquisition Corp. III,Financial,Shell Companies,Colombia
ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA
ANGI,Angi Inc.,Communication Services,Internet Content & Information,USA
ANGN,Angion Biomedica Corp.,Healthcare,Biotechnology,USA
ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,USA
ANIK,"Anika Therapeutics, Inc.",Healthcare,Biotechnology,USA
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
ANIX,"Anixa Biosciences, Inc.",Healthcare,Diagnostics & Research,USA
ANNX,"Annexon, Inc.",Healthcare,Biotechnology,USA
ANPC,"AnPac Bio-Medical Science Co., Ltd.",Healthcare,Biotechnology,China
ANSS,"ANSYS, Inc.",Technology,Software - Application,USA
ANTE,AirNet Technology Inc.,Communication Services,Advertising Agencies,China
ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA
ANVS,"Annovis Bio, Inc.",Healthcare,Biotechnology,USA
ANY,Sphere 3D Corp.,Technology,Software - Application,Canada
ANZUU,Anzu Special Acquisition Corp I,Financial,Shell Companies,USA
AOD,Aberdeen Total Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA
AON,Aon plc,Financial,Insurance Brokers,Ireland
AONE,one,Financial,Shell Companies,USA
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,USA
AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,Leisure,USA
AP,Ampco-Pittsburgh Corporation,Industrials,Metal Fabrication,USA
APA,APA Corporation,Energy,Oil & Gas E&P,USA
APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,USA
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,USA
APDN,"Applied DNA Sciences, Inc.",Industrials,Security & Protection Services,USA
APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,USA
APEN,"Apollo Endosurgery, Inc.",Healthcare,Medical Devices,USA
APG,APi Group Corporation,Industrials,Engineering & Construction,USA
APGB,Apollo Strategic Growth Capital II,Financial,Shell Companies,USA
APH,Amphenol Corporation,Technology,Electronic Components,USA
API,"Agora, Inc.",Technology,Software - Application,China
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,USA
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
APLT,"Applied Therapeutics, Inc.",Healthcare,Biotechnology,USA
APM,Aptorum Group Limited,Healthcare,Biotechnology,United Kingdom
APO,"Apollo Global Management, Inc.",Financial,Asset Management,USA
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment,USA
APOP,Cellect Biotechnology Ltd.,Healthcare,Biotechnology,Israel
APP,AppLovin Corporation,Technology,Software - Application,USA
APPF,"AppFolio, Inc.",Technology,Software - Application,USA
APPH,"AppHarvest, Inc.",Consumer Defensive,Farm Products,USA
APPN,Appian Corporation,Technology,Software - Infrastructure,USA
APPS,"Digital Turbine, Inc.",Technology,Software - Application,USA
APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA
APRE,"Aprea Therapeutics, Inc.",Healthcare,Biotechnology,USA
APRN,"Blue Apron Holdings, Inc.",Consumer Cyclical,Internet Retail,USA
APSG,Apollo Strategic Growth Capital,Financial,Shell Companies,USA
APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada
APTO,Aptose Biosciences Inc.,Healthcare,Biotechnology,Canada
APTS,"Preferred Apartment Communities, Inc.",Real Estate,REIT - Residential,USA
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland
